,duns,companyname,coco,national_id,national_idco
191,99989001,CITY OF ATLANTA,805,,NA
192,99989105,THE SHERWIN-WILLIAMS COMPANY,805,,NA
193,99989118,CITY OF ATLANTA,805,,NA
194,99989167,MONETARY MANAGEMENT OF CA INC,805,,NA
195,99989225,"N.W. EYE SURGEONS, P.C.",805,,NA
196,99989258,CITY OF ATLANTA,805,,NA
197,99989274,THE COMMUNITY APOSTOLIC ORDER INC,805,,NA
198,99989308,SOUTHEASTERN FREIGHT LINES INC,805,,NA
199,99989365,CITY OF ATLANTA,805,,NA
200,99989373,M K S INSTRUMENTS INC,805,,NA
201,99989456,SOUTHEASTERN FREIGHT LINES INC,805,,NA
202,99989480,ST CROIX MANUFACTURING LLC,805,,NA
203,99989506,CITY OF ATLANTA,805,,NA
204,99989530,ASSET INTERNATIONAL LLC,805,,NA
205,99989563,SOUTHEASTERN FREIGHT LINES INC,805,,NA
206,99989621,CITY OF ATLANTA,805,,NA
207,99989654,SOUTHEASTERN FREIGHT LINES INC,805,,NA
208,99989683,MWK PLAZA CORPORATION,805,,NA
209,99989696,CITY OF ATLANTA,805,,NA
210,99989795,SOUTHEASTERN FREIGHT LINES INC,805,,NA
211,99989837,CITY OF ATLANTA,805,,NA
212,99989894,CITY OF ATLANTA,805,,NA
213,99989910,KABBALAH CENTRE INTERNATIONAL INC,805,,NA
214,99989969,CITY OF ATLANTA,805,,NA
215,99989985,"REDVITAE TECHNOLOGIES, LLC",805,,NA
216,99990017,CITY OF ATLANTA,805,,NA
217,99990033,BENT & DENT GROCERY,805,,NA
218,99990066,"REDVITAE TECHNOLOGIES, LLC",805,,NA
219,99990108,CITY OF ATLANTA,805,,NA
220,99990223,THERMAL COMFORT AIR INC,805,,NA
221,99990376,SPORTS'N STUFF INC,805,,NA
222,99990421,CITY OF ATLANTA,805,,NA
223,99990538,ALLIED LEASING CORP.,805,,NA
224,99990561,CITY OF ATLANTA,805,,NA
225,99990645,"DOOR TECHS ARCHITECTURAL, INC",805,,NA
226,99990728,DIGITAL SUPPLY CORPORATION,805,,NA
227,99990801,CITY OF ATLANTA,805,,NA
228,99990819,MICHAEL KORS LLC,805,,NA
229,99990892,CITY OF ATLANTA,805,,NA
230,99990959,MONETARY MANAGEMENT OF CA INC,805,,NA
231,99990983,CITY OF ATLANTA,805,,NA
232,99991031,KNO-WAL-LIN HOME HEALTH AND HOSPICE CARE,805,,NA
233,99991163,MC MAHANS FURNITURE STORES,805,,NA
234,99991171,CITY OF ATLANTA,805,,NA
235,99991309,SHERWOOD FLORIST INC,805,,NA
236,99991379,PEET'S OPERATING COMPANY INC,805,,NA
237,99991387,CITY OF ATLANTA,805,,NA
238,99991411,PARRISH-HARE ELECTRICAL SUPPLY CORPORATION,805,,NA
239,99991460,PARRISH-HARE ELECTRICAL SUPPLY CORPORATION,805,,NA
240,99991486,PEET'S OPERATING COMPANY INC,805,,NA
241,99991528,CITY OF ATLANTA,805,,NA
242,99991643,PEET'S COFFEE & TEA INC,805,,NA
243,99991684,CITY OF ATLANTA,805,,NA
244,99991726,PEET'S COFFEE & TEA INC,805,,NA
245,99991817,CITY OF ATLANTA,805,,NA
246,99991973,BOLEO ENTERPRISE INC,805,,NA
247,99992013,PEET'S COFFEE & TEA INC,805,,NA
248,99992026,MILLER BREWING COMPANY,805,,NA
249,99992047,BISCO INDUSTRIES INC,805,,NA
250,99992091,COUNTY OF LOS ANGELES,805,,NA
251,99992211,BOLEO ENTERPRISE INC,805,,NA
252,99992229,PEET'S OPERATING COMPANY INC,805,,NA
253,99992302,MONETARY MANAGEMENT OF CA INC,805,,NA
254,99992430,THE J DAVID GLADSTONE INSTITUTES,805,,NA
255,99992505,"SANTA MARIA, CITY OF",805,,NA
256,99992518,"WILLIS OF NEW YORK, INC",805,,NA
257,99992542,CLARK DEPEW,805,,NA
258,99992745,RGI-SO INC,805,,NA
259,99992786,SUNGARD TREASUREY SYSTEMS INC,805,,NA
260,99992823,"DATARIUS TECHNOLOGIES, INC.",805,,NA
261,99992976,SEARS ROEBUCK AND CO INC,805,,NA
262,99993045,TANQUE VERDE RESTAURANT INC,805,,NA
263,99993057,SCOLARIS OF CALIFORNIA INC,805,,NA
264,99993177,"BERGEN POWER PIPE SUPPORTS, INC",805,,NA
265,99993235,CD LISTENING BAR INC,805,,NA
266,99993271,NADEL ARCHITECTS INC,805,,NA
267,99993446,TREE OF LIFE INC,805,,NA
268,99993532,QUALEX INC,805,,NA
269,99993722,THE FULTON DEKALB HOSPITAL AUTHORITY,805,,NA
270,99993750,BEZAIRE ELECTRIC INC,805,,NA
271,99993771,NTI COMMUNICATIONS CORPORATION,805,,NA
272,99993904,NAVIGATION TECHNOLOGIES NORTH AMERICA INC,805,,NA
273,99993974,SERVICE BY AIR INC,805,,NA
274,99994493,ASSOCIATED CHAPELS INC,805,,NA
275,99994634,SCULPTURE DESIGN IMPORTS INC,805,,NA
276,99994688,COUNTY OF KENTON,805,,NA
277,99994886,"GIBSON COUNTY COAL, LLC",805,,NA
278,99994894,AMC SERVICES LLC,805,,NA
279,99995099,THE COMMUNITY COLLEGE OF BALTIMORE COUNTY,805,,NA
280,99995198,"VERIZON COMMUNICATIONS, INC",805,,NA
281,99995396,"THURSTON AND SONS INCORPORATED, C. E.",805,,NA
282,99995446,POINTE COUPEE PARISH SCHOOL BOARD,805,,NA
283,99995545,OFFICE OF THE SECRETARY OF DEFENSE,805,,NA
284,99995776,"SOLID WASTE SERVICES, INC",805,,NA
285,99995870,XEROX CORPORATION,805,,NA
286,99995941,THE UPSTATE BANK,805,,NA
287,99996022,COUNTY OF OAKLAND,805,,NA
288,99996233,"APPLE GRAPHICS, INC",805,,NA
289,99996238,CITY OF ST LOUIS,805,,NA
290,99996329,RANDOM HOUSE INC,805,,NA
291,99996555,H O T SERVICES INC,805,,NA
292,99996584,ROMAN CATHOLIC DIOCESE OF CLEVELAND,805,,NA
293,99996691,GIANT FOOD INC,805,,NA
294,99996816,HYDE COUNTY,805,,NA
295,99997087,J T VAUGHN CONSTRUCTION CO INC,805,,NA
296,99997322,GREATER LONG BEACH CHILD GUIDANCE CENTER,805,,NA
297,99997579,CROWN EQUIPMENT CORPORATION,805,,NA
298,99997665,"SAN DIEGO, COUNTY OF",805,,NA
299,99997702,KOBATA GROWERS INC,805,,NA
300,99998072,GENERAL TRAILER PARK ASSOCIATES,805,,NA
301,99998460,"PARKS AND RECREATION, CA DEPT OF",805,,NA
302,99998916,"STOLPMAN, KRISSMAN, ELBER, & SILVER",805,,NA
303,99998940,"TOPA EQUITIES LTD, INC",805,,NA
304,99999042,THE WET SEAL INC,805,,NA
305,99999310,MAHAR MANUFACTURING CORP,805,,NA
306,99999492,LANCASTER SCHOOL DISTRICT,805,,NA
307,99999539,MONETARY MANAGEMENT OF CA INC,805,,NA
308,99999732,DAKOCYTOMATION CALIFORNIA INC,805,,NA
309,99999976,PACIFICARE OF ARIZONA INC,805,,NA
310,100000017,ANDALUSIA CITY SCHOOL DISTRICT,805,,NA
311,100000041,CITY OF ATHENS,805,,NA
312,100000058,ATTALLA CITY SCHOOL DISTRICT,805,,NA
313,100000066,AUBURN CITY SCHOOL DISTRICT,805,,NA
314,100000074,AUTAUGA COUNTY BOARD OF EDUCATION,805,,NA
315,100000090,BARBOUR COUNTY BOARD OF EDUCATION,805,,NA
316,100000165,CHEROKEE COUNTY BOARD OF EDUCATION,805,,NA
317,100000181,CLARKE COUNTY SCHOOL DISTRICT,805,,NA
318,100000199,CLAY COUNTY OF SCHOOL DISTRICT,805,,NA
319,100000231,COOSA COUNTY SCHOOL DISTRICT,805,,NA
320,100000280,DALE COUNTY BOARD OF EDUCATION,805,,NA
321,100000298,DALEVILLE CITY SCHOOL DISTRICT,805,,NA
322,100000306,DALLAS COUNTY BOARD OF EDUCATION,805,,NA
323,100000330,DEMOPOLIS BOARD OF EDUCATION,805,,NA
324,100000348,ELBA CITY BOARD OF EDUCATION,805,,NA
325,100000355,ELMORE COUNTY BOARD OF EDUCATION INC,805,,NA
326,100000363,ENTERPRISE CITY BOARD OF EDUCATION,805,,NA
327,100000371,EUFAULA CITY SCHOOL DISTRICT,805,,NA
328,100000397,FAYETTE COUNTY BOARD OF EDUCATION,805,,NA
329,100000447,COUNTY OF GENEVA,805,,NA
330,100000488,HARTSELLE CITY BOARD OF EDUCATION,805,,NA
331,100000496,HENRY COUNTY BOARD OF EDUCATION,805,,NA
332,100000504,HOMEWOOD CITY SCHOOL DISTRICT,805,,NA
333,100000520,CITY OF JACKSONVILLE,805,,NA
334,100000611,MACON COUNTY BOARD OF EDUCATION INC,805,,NA
335,100000629,MADISON COUNTY BOARD OF EDUCATION,805,,NA
336,100000652,MARION COUNTY BOARD EDUCATION,805,,NA
337,100000710,MUSCLE SHOALS CITY SCHOOL DISTRICT,805,,NA
338,100000736,OPELIKA CITY SCHOOLS,805,,NA
339,100000751,OXFORD CITY SCHOOL DISTRICT,805,,NA
340,100000785,PHENIX CITY SCHOOLS,805,,NA
341,100000819,PIKE COUNTY BOARD OF EDUCATION,805,,NA
342,100000835,ROANOKE CITY SCHOOLS,805,,NA
343,100000843,RUSSELL COUNTY SCHOOL DISTRICT,805,,NA
344,100000850,RUSSELLVILLE CITY BOARD OF EDUCATION,805,,NA
345,100000868,SCOTTSBORO CITY SCHOOL DISTRISCT,805,,NA
346,100000975,TROY CITY SCHOOLS,805,,NA
347,100001080,COUNTY OF COCHISE,805,,NA
348,100001098,AVONDALE ELEMENTARY SCHOOL DISTRICT 44,805,,NA
349,100001106,BAGDAD UNIFIED SCHOOL DIST 20,805,,NA
350,100001171,SIERRA VISTA PUBLIC SCHOOLS UNIFIED DISTRICT 68,805,,NA
351,100001197,CASA GRANDE ELEMENTARY SCHOOL DISTRICT,805,,NA
352,100001320,COTTONWOOD-OAK CREEK ELEMENTARY 006,805,,NA
353,100001387,COUNTY OF PINAL,805,,NA
354,100001395,ELOY ELEMENTARY SCHOOL DISTRICT 11,805,,NA
355,100001445,FORT THOMAS UNIFIED SCHOOL DISTRICT,805,,NA
356,100001452,GADSDEN ELEMENTARY SCHOOL DISTRICT 32,805,,NA
357,100001478,GILA BEND UNIFIED SCHOOL DISTRICT 024 INC,805,,NA
358,100001668,MARANA UNIFIED SCHOOL DISTRICT 6,805,,NA
359,100001759,NOGALES UNIFIED SCHOOL DISTRICT 001,805,,NA
360,100001908,QUEEN CREEK UNIFIED SCHOOL DISTRICT 95,805,,NA
361,100001916,RAY UNIFIED SCHOOL DISTRICT 3,805,,NA
362,100001957,ROUND VALLEY SCHOOL DISTRICT 10,805,,NA
363,100002062,SOMERTON SCHOOL DISTRICT 11,805,,NA
364,100002096,SUPERIOR UNIFIED SCHOOL DIST 15,805,,NA
365,100002104,TEMPE ELEMENTARY SCHOOL DISTRICT 3,805,,NA
366,100002112,TOLLESON ELEMENTARY SCHOOL DISTRICT 17,805,,NA
367,100002245,WILLCOX UNIFIED SCHOOL DISTRICT 13,805,,NA
368,100002257,THE WET SEAL INC,805,,NA
369,100002260,WILLIAMS UNIFIED SCHOOL DISTRICT 2,805,,NA
370,100002294,WINSLOW UNIFIED SCHOOL DISTRICT,805,,NA
371,100002310,ARKADELPHIA SCHOOL DISTRICT,805,,NA
372,100002336,ASHDOWN SCHOOL DISTRICT 31,805,,NA
373,100002344,ATKINS SCHOOL DISTRICT,805,,NA
374,100002377,BAUXITE SCHOOL DISTRICT,805,,NA
375,100002443,BERGMAN HIGH SCHOOL,805,,NA
376,100002484,ROCK BLACK SCHOOL DISTRICT,805,,NA
377,100002500,BOONEVILLE SCHOOL DISTRICT,805,,NA
378,100002518,BRINKLEY SCH DIST,805,,NA
379,100002583,CLARKSVILLE SCHOOL DISTRICT 17,805,,NA
380,100002641,DANVILLE SCHOOL DISTRICT,805,,NA
381,100002716,DELTA SPECIAL SCHOOL DISTRICT 2,805,,NA
382,100002732,DES ARC SCHOOL DISTRICT 5,805,,NA
383,100002781,EARLE SCHOOL DISTRICT,805,,NA
384,100002815,ELAINE SCHOOL DISTRICT 30,805,,NA
385,100002831,ENGLAND SCHOOL DISTRICT,805,,NA
386,100002989,GREENWOOD SCHOOL DISTRICT 25,805,,NA
387,100003003,GURDON SCHOOL DISTRICT,805,,NA
388,100003037,HAMBURG SCHOOL DISTRICT,805,,NA
389,100003094,HAZEN SCHOOL DISTRICT,805,,NA
390,100003151,HUGHES SCHOOL DISTRICT 27,805,,NA
391,100003193,RIVERVIEW SCHOOL DISTRICT,805,,NA
392,100003276,LAMAR SCHOOL DISTRICT,805,,NA
393,100003318,LEWISVILLE SCHOOL DISTRICT,805,,NA
394,100003326,LINCOLN CONSOLIDATED SCHOOL DISTRICT,805,,NA
395,100003441,MARION BOARD OF EDUCATION,805,,NA
396,100003458,MARKED TREE SCH DIST INC,805,,NA
397,100003482,MAYFLOWER SCHOOL DISTRICT,805,,NA
398,100003607,MULBERRY SCHOOL DISTRICT,805,,NA
399,100003615,MURFREESBORO SCHOOL DISTRICT 16,805,,NA
400,100003631,NEMO VISTA SCHOOL DIST 8,805,,NA
401,100003698,OLA PUBLIC SCHOOL DISTRICT,805,,NA
402,100003706,OMAHA PUBLIC SCHOOL DISTRICT,805,,NA
403,100003722,OZARK SCHOOL DISTRICT,805,,NA
404,100003748,PANGBURN SCHOOL DISTRICT,805,,NA
405,100003862,PRESCOTT SCHOOL DISTRICT 14,805,,NA
406,100003888,RECTOR SCHOOL DISTRICT,805,,NA
407,100003920,SALEM SCHOOL DISTRICT,805,,NA
408,100003953,SCRANTON SCHOOL DISTRICT,805,,NA
409,100003987,SHERIDAN PUBLIC SCHOOLS,805,,NA
410,100004001,SOUTH CONWAY CO SCHOOL DIST,805,,NA
411,100004027,STAMPS SCHOOL DISTRICT,805,,NA
412,100004050,STEPHENS SCHOOL DISTRICT 13,805,,NA
413,100004068,RIVER VALLEY SCHOOL DISTRICT,805,,NA
414,100004076,ROCK SULPHUR SCHOOL DISTRICT,805,,NA
415,100004084,GREENE COUNTY TECHNICAL SCHOOL DISTRICT,805,,NA
416,100004159,VAN COVE SCHOOL DISTRICT 1,805,,NA
417,100004217,WALNUT RIDGE SCHOOL DISTRICT,805,,NA
418,100004233,WINSLOW SCHOOL,805,,NA
419,100004258,WEST FORK SCHOOL DISTRICT 141,805,,NA
420,100004290,HAMBURG SCHOOL DISTRICT,805,,NA
421,100004308,WINTHROP SCHOOL DISTRICT 12,805,,NA
422,100004332,ALEXANDER VALLEY UNION SD,805,,NA
423,100004340,ALISAL UNION ELEMENTARY SCHOOL DISTRICT,805,,NA
424,100004464,NORTHERN HUMBOLDT HIGH SCHOOL DISTRICT,805,,NA
425,100004498,ARMONA ELEMENTARY UNION SCHOOL DISTRICT,805,,NA
426,100004506,ARVIN UNION SCHOOL DISTRICT,805,,NA
427,100004514,ATASCADERO UNIFIED SCHOOL DISTRICT,805,,NA
428,100004522,SIERRA UNIFIED SCHOOL DISTRICT,805,,NA
429,100004530,AUBURN UNION SCHOOL DISTRICT,805,,NA
430,100004555,BALLICO-CRESSEY ELEMENTARY SCHOOL DISTRICT,805,,NA
431,100004613,BEARDSLEY SCHOOL DISTRICT,805,,NA
432,100004621,BELLEVUE UNION ELEMENTARY SCHOOL DISTRICT,805,,NA
433,100004787,BRISBANE SCHOOL DISTRICT,805,,NA
434,100004837,BUENA VISTA ELEMENTARY SCHOOL DISTRICT,805,,NA
435,100004845,BURLINGAME SCHOOL DISTRICT,805,,NA
436,100004860,BURTON SCHOOL DISTRICT,805,,NA
437,100004928,CALIPATRIA UNIFIED SCHOOL DISTRICT,805,,NA
438,100005081,CENTRAL UNIFIED SCHOOL DISTRICT,805,,NA
439,100005177,DARE TECHNOLOGIES INC,805,,NA
440,100005230,COLLEGE SCHOOL DISTRICT,805,,NA
441,100005271,CORNING UNION ELEMENTARY SCHOOL DISTRICT,805,,NA
442,100005354,DAVIS JOINT UNIFIED SCHOOL DISTRICT,805,,NA
443,100005362,DEATH VALLEY UNIFIED SCHOOL DISTRICT,805,,NA
444,100005388,DELANO UNION SCHOOL DISTRICT,805,,NA
445,100005487,DRY CREEK JOINT ELEMENTARY SCHOOL DISTRICT,805,,NA
446,100005503,DUNHAM SCHOOL DISTRICT,805,,NA
447,100005537,DURHAM UNIFIED SCHOOL DISTRICT,805,,NA
448,100005602,EL TEJON UNIFIED SCHOOL DISTRICT,805,,NA
